systolic hypertension	C0221155
esophageal leak	C0341563
cce	CUI-less
hiatal hernia	C0019284
atypical uroepithelial cells	C0522580
tension ptx	C0264558
combativeness	CUI-less
strep a	C0554628
atypical pneumonia	C1412002
drunk	C0001969
thrombi left ventricle	C0587044
ascites	CUI-less
right ventricular systolic function depressed	CUI-less
dysarthira	C0013362
presyncopal events	C0700200
vomimitting	C0042963
platelet count decreased	CUI-less
poor ejection fraction	CUI-less
right ventricular hypertrophied	C0162770
t wave inversions in 2	C0520888
brain stem reflexes	CUI-less
neck stiffness	C0151315
mitral valve disease	C0026265
ileus	C1258215
anteroinferior st elevations	CUI-less
hearing loss	CUI-less
alzheimer's dementia	C0002395
cmv positive	CUI-less
decreased responsiveness	C0478662
cardiac issues	CUI-less
hemotympanum	C0019125
heart irreg irreg	CUI-less
rul pneumonia	C0585106
anteroseptal myocardial infarction	C0264699
abd scaphoid	C0238532
trapped left lower lobe	C2242587
hemorrhagic contusion	CUI-less
pulmonary vascular congestion	C0242073
c	C0085593
short of breath	C0013404
d	C0011991
e	C0013604
asymptomatic	CUI-less
f	CUI-less
g	CUI-less
ascitic	CUI-less
tonsillar cancer	C0558355
m	CUI-less
blood	CUI-less
n	C0027497
right dominant heart	C0345135
r	CUI-less
s	CUI-less
fixed pupils	CUI-less
v	C0042963
w	C0043144
tibial plateau fx	C0262489
pneumocystis carinii pneumonia	C0032305
normal rv systolic function	CUI-less
ms changes	C0278061
extremities cool	CUI-less
voiding difficulty	C0241705
large amounts of blood	CUI-less
atrial flutter	C0004239
hemodynamic complications	CUI-less
anoxic brain injury	C0003132
tia	C0007787
intravascular depletion	CUI-less
obese	C0028754
nonverbal	CUI-less
neurological deficits	CUI-less
forearm fractures	C1305215
vegetations aortic valve	C0577870
shingles	C0019360
lipoma	C0023798
acute confusional state	CUI-less
chb	C0151517
hallucinations	C0018524
chf	C0018802
troponin elevated	CUI-less
alternation in consciousness	C0234428
white tongue	CUI-less
chi	C0085094
collapsed gallbladder	CUI-less
defervescence	CUI-less
systolic hf	C1135191
regained some strength	CUI-less
dry mouth	C0043352
torsion	C1265748
incision	C0332803
